Descrição,Código,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Valor Pago,Total Vendas
Paçoquita,114,-362,"R$ 0,70 ","R$ 0,00 ","R$ 0,00 ","-R$ 253,40",115,"R$ 80,50","R$ 80,50"
Dipnlik,115,-206,"R$ 1,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 206,00",,,
Plutonita,116,-420,"R$ 0,35 ","R$ 0,00 ","R$ 0,00 ","-R$ 147,00",221,"R$ 77,35","R$ 77,35"
Pote 1L - Ninho,117,-421,"R$ 25,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 10.525,00",136,"R$ 3.400,00","R$ 3.400,00"
Combo 1 - Segunda-Feira,118,-421,"R$ 25,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 10.525,00",109,"R$ 2.725,00","R$ 2.725,00"
Combo 2 - Terça-Feira,119,-187,"R$ 28,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 5.236,00",64,"R$ 1.792,00","R$ 1.792,00"
Combo 3 - Quarta-Feira,120,-204,"R$ 17,90 ","R$ 0,00 ","R$ 0,00 ","-R$ 3.651,60",35,"R$ 626,50","R$ 626,50"
Combo 4 - Quinta-Feira,121,-154,"R$ 25,90 ","R$ 0,00 ","R$ 0,00 ","-R$ 3.988,60",23,"R$ 595,70","R$ 595,70"
Combo - Sexta-Feira,122,-40,"R$ 23,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 920,00",,,
Black Friday - copo,123,-6,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 30,00",,,
Black Friday - milk,124,-5,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 50,00",,,
Bolo G Nozes,125,0,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Fini Tubes,126,-9,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 54,00",,,
Copinho Transparente,127,-14,"R$ 0,25 ","R$ 0,00 ","R$ 0,00 ","-R$ 3,50",,,
Copinho Isopor,128,-50,"R$ 0,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 25,00",,,
Copinho Isopor 480ml,129,,"R$ 0,60 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Fandangos,130,-36,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 108,00",12,"R$ 36,00","R$ 36,00"
Lays 50gr,131,-11,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 66,00",,,
Sensações 45gr,132,-2,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 10,00",,,
Baconzitos 28gr,133,-9,"R$ 3,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 31,50",2,"R$ 7,00","R$ 7,00"
Cebolitos 31gr,134,-39,"R$ 3,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 136,50",12,"R$ 42,00","R$ 42,00"
Doritos 48gr,135,-34,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 170,00",,,
Ruffles 37gr,136,-86,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 430,00",31,"R$ 155,00","R$ 155,00"
Cheetos 37gr,137,-96,"R$ 3,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 336,00",11,"R$ 38,50","R$ 38,50"
Cheetos 140gr,138,-21,"R$ 12,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 252,00",,,
Fandangos 140gr,139,-15,"R$ 12,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 180,00",,,
Baconzitos 103gr,140,-4,"R$ 12,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 48,00",,,
Pingo d'ouro,142,-13,"R$ 3,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 45,50",5,"R$ 17,50","R$ 17,50"
Stiksy,143,-9,"R$ 3,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 31,50",2,"R$ 7,00","R$ 7,00"
Bubbaloo,144,-826,"R$ 0,35 ","R$ 0,00 ","R$ 0,00 ","-R$ 289,10",350,"R$ 122,50","R$ 122,50"
Pirulito Coração,145,-304,"R$ 0,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 152,00",84,"R$ 42,00","R$ 42,00"
Amendoim - Mendorato,146,-34,"R$ 1,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 51,00",9,"R$ 13,50","R$ 13,50"
Amendoim - Sem pele,147,-9,"R$ 1,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 9,00",,,
Bombom Ouro Branco,148,-153,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 306,00",59,"R$ 100,00","R$ 100,00"
Bombom Sonho de Valsa,149,-243,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 486,00",107,"R$ 180,00","R$ 180,00"
Dadinho,150,-32,"R$ 0,25 ","R$ 0,00 ","R$ 0,00 ","-R$ 8,00",,,
Bala Yogurt,153,-4,"R$ 0,15 ","R$ 0,00 ","R$ 0,00 ","-R$ 0,60",,,
Paçoca Dani pequena,156,-28,"R$ 0,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 14,00",,,
Paçoca caseira,157,-467,"R$ 1,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 467,00",124,"R$ 102,10","R$ 102,10"
Tônica,158,-47,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 235,00",,,
Pote 2L - Ninho,159,-193,"R$ 40,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 7.720,00",48,"R$ 1.920,00","R$ 1.920,00"
Isopor unidade (8 bolas),161,-4,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12,00",,,
Isopor unidade (12 bolas),162,-27,"R$ 4,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 108,00",6,"R$ 24,00","R$ 24,00"
Isopor unidade (18 bolas),163,-33,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 165,00",8,"R$ 40,00","R$ 40,00"
Xclé mini,164,-171,"R$ 1,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 256,50",,,
Açaí PolpaNorte 200g,165,-294,"R$ 12,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 3.675,00",104,"R$ 1.300,00","R$ 1.300,00"
Açaí Frooty 600g,166,-1,"R$ 22,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 22,00",,,
Acréscimo - Creme de Avelã,167,-9,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 27,00",,,
Suco de Açaí,168,-26,"R$ 15,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 390,00",3,"R$ 45,00","R$ 45,00"
Lacta - Laka 20g,169,-11,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 22,00",,,
Lacta - Diamante Negro 20g,170,-10,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 20,00",,,
Acréscimo Salsicha,172,0,"R$ 1,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pacote Balas,173,-35,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 70,00",,,
Adicionais Milk Shake Chantilly,174,-301,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 602,00",1,"R$ 2,00","R$ 2,00"
Chicletes de frutas fini,175,-668,"R$ 0,35 ","R$ 0,00 ","R$ 0,00 ","-R$ 233,80",10,"R$ 3,50","R$ 3,50"
Canudo biscoito,176,-511,"R$ 0,15 ","R$ 0,00 ","R$ 0,00 ","-R$ 76,65",125,"R$ 18,75","R$ 18,75"
Sundae,177,-31,"R$ 20,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 620,00",2,"R$ 37,00","R$ 37,00"
Lays 80gr,178,-4,"R$ 8,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 32,00",,,
Pacotinho De Bala,179,-1,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 2,00",,,
Pacote de balas,180,,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
